PartcipantID:232323
InitialTimeStamp:12-44-25-911
no answer = 0; lottery1 = 1(left); lottery2 = 2(right)
block;trial;eventType;elapsedTime(ms)
name D22L; Block1; Instance66; Answer:2; ParticipantAnswer:1147; time taken:1091
name 4S10R; Block1; Instance333; Answer:2; ParticipantAnswer:2312; time taken:1046
name 4S30R; Block1; Instance353; Answer:1; ParticipantAnswer:2737; time taken:304
name 3S30R; Block1; Instance272; Answer:1; ParticipantAnswer:3008; time taken:152
name 4B; Block1; Instance3; Answer:2; ParticipantAnswer:3409; time taken:281
name 3S76R; Block1; Instance318; Answer:1; ParticipantAnswer:3618; time taken:85
name 4S72R; Block1; Instance395; Answer:2; ParticipantAnswer:3801; time taken:64
name D29R; Block1; Instance37; Answer:2; ParticipantAnswer:4167; time taken:242
name 4S41R; Block1; Instance364; Answer:2; ParticipantAnswer:4552; time taken:267
name 3S32R; Block1; Instance274; Answer:2; ParticipantAnswer:4752; time taken:80
name 3B; Block1; Instance2; Answer:2; ParticipantAnswer:4945; time taken:72
name D6R; Block1; Instance14; Answer:2; ParticipantAnswer:5125; time taken:60
name D10R; Block1; Instance18; Answer:2; ParticipantAnswer:5304; time taken:59
name 4S65L; Block1; Instance226; Answer:2; ParticipantAnswer:5530; time taken:105
name 3S50L; Block1; Instance130; Answer:1; ParticipantAnswer:5761; time taken:111
name 3S50R; Block1; Instance292; Answer:1; ParticipantAnswer:5943; time taken:59
name 3S67L; Block1; Instance147; Answer:1; ParticipantAnswer:6129; time taken:63
name 3S64R; Block1; Instance306; Answer:1; ParticipantAnswer:6313; time taken:62
name 4S79L; Block1; Instance240; Answer:1; ParticipantAnswer:6492; time taken:63
name 4S18R; Block1; Instance341; Answer:2; ParticipantAnswer:6671; time taken:59
name 4S60L; Block1; Instance221; Answer:1; ParticipantAnswer:6880; time taken:85
name D34L; Block1; Instance78; Answer:2; ParticipantAnswer:7058; time taken:58
name D5L; Block1; Instance49; Answer:2; ParticipantAnswer:7241; time taken:60
name 4S38R; Block1; Instance361; Answer:2; ParticipantAnswer:7429; time taken:67
name D26R; Block1; Instance34; Answer:1; ParticipantAnswer:7809; time taken:258
name 3S13R; Block1; Instance255; Answer:1; ParticipantAnswer:7987; time taken:58
name 3S40L; Block1; Instance120; Answer:1; ParticipantAnswer:8184; time taken:77
name 3S18L; Block1; Instance98; Answer:1; ParticipantAnswer:8366; time taken:63
name 4S55L; Block1; Instance216; Answer:1; ParticipantAnswer:8560; time taken:71
name 3S53L; Block1; Instance133; Answer:1; ParticipantAnswer:8741; time taken:61
name 3S18R; Block1; Instance260; Answer:1; ParticipantAnswer:8930; time taken:69
name D25R; Block1; Instance33; Answer:1; ParticipantAnswer:9107; time taken:58
name 4S24L; Block1; Instance185; Answer:1; ParticipantAnswer:9320; time taken:87
name D2L; Block1; Instance46; Answer:1; ParticipantAnswer:9501; time taken:60
name 3S34L; Block1; Instance114; Answer:1; ParticipantAnswer:9713; time taken:92
name 4S58L; Block1; Instance219; Answer:1; ParticipantAnswer:10215; time taken:383
name 4S11R; Block1; Instance334; Answer:1; ParticipantAnswer:10393; time taken:60
name 4S7L; Block1; Instance168; Answer:1; ParticipantAnswer:10569; time taken:58
name 6B; Block1; Instance5; Answer:1; ParticipantAnswer:10749; time taken:58
